期号,日期,中奖号码,特别号码,上期出现号码,小,大,单数,双数,1-10,11-20,21-30,31-40,41-50
25/111,2025-10-16,"2,11,32,40,43,48",12,32,2,4,2,4,1,1,0,2,2
25/110,2025-10-14,"3,15,17,24,32,44",20,,4,2,3,3,1,2,1,1,1
25/109,2025-10-11,"5,6,18,19,30,39",7,39,4,2,3,3,2,2,1,1,0
25/108,2025-10-09,"1,3,24,31,39,45",7,24,3,3,5,1,2,0,1,2,1
25/107,2025-10-06,"15,17,19,23,24,34",33,,5,1,4,2,0,3,2,1,0
25/106,2025-09-30,"13,21,33,41,44,46",43,,2,4,4,2,0,1,1,1,3
25/105,2025-09-27,"8,14,16,18,26,48",44,,4,2,0,6,1,3,1,0,1
25/104,2025-09-25,"2,11,22,27,46,47",32,,3,3,3,3,1,1,2,0,2
25/103,2025-09-20,"8,13,17,24,36,43",41,36,4,2,3,3,1,2,1,1,1
25/102,2025-09-18,"22,33,35,36,37,48",30,"22,33",1,5,3,3,0,0,1,4,1
25/101,2025-09-16,"14,21,22,28,32,33",25,21,3,3,2,4,0,1,3,2,0
25/100,2025-09-13,"15,21,23,37,47,49",30,21,3,3,6,0,0,1,2,1,2
25/099,2025-09-11,"11,21,22,25,32,44",38,"32,44",3,3,3,3,0,1,3,1,1
25/098,2025-09-09,"7,15,32,40,42,44",9,,2,4,2,4,1,1,0,2,2
25/097,2025-09-06,"6,19,22,23,34,43",11,23,4,2,3,3,1,1,2,1,1
25/096,2025-09-02,"5,18,23,24,29,49",11,"18,49",4,2,4,2,1,1,3,0,1
25/095,2025-08-30,"6,18,31,33,44,49",2,"44,49",2,4,3,3,1,1,0,2,2
25/094,2025-08-28,"5,36,39,44,48,49",32,48,1,5,3,3,1,0,0,2,3
25/093,2025-08-26,"2,3,16,25,38,48",6,,3,3,2,4,2,1,1,1,1
25/092,2025-08-23,"17,22,26,36,39,45",14,45,2,4,3,3,0,1,2,2,1
25/091,2025-08-21,"6,8,10,23,32,45",3,"32,45",4,2,2,4,3,0,1,1,1
25/090,2025-08-19,"28,32,34,37,45,49",7,32,0,6,3,3,0,0,1,3,2
25/089,2025-08-16,"4,10,15,20,32,38",26,,4,2,1,5,2,2,0,2,0
25/088,2025-08-14,"1,13,25,27,31,34",33,,2,4,5,1,1,1,2,2,0
25/087,2025-08-12,"8,16,18,28,29,32",20,,3,3,1,5,1,2,2,1,0
25/086,2025-08-09,"25,36,44,45,48,49",13,25,0,6,3,3,0,0,1,1,4
25/085,2025-08-07,"3,7,25,29,37,39",8,,2,4,6,0,2,0,2,2,0
25/084,2025-08-02,"10,14,18,21,34,44",24,"10,21",4,2,1,5,1,2,1,1,1
25/083,2025-07-31,"10,21,23,27,35,47",39,35,3,3,5,1,1,0,3,1,1
25/082,2025-07-29,"9,11,17,28,35,43",42,,3,3,5,1,1,2,1,1,1
25/081,2025-07-26,"19,22,25,32,33,45",36,,2,4,4,2,0,1,2,2,1
25/080,2025-07-21,"17,20,28,31,35,48",32,48,2,4,3,3,0,2,1,2,1
25/079,2025-07-19,"6,25,29,40,48,49",42,,1,5,3,3,1,0,2,1,2
25/078,2025-07-17,"12,19,31,37,42,45",15,"12,31",2,4,4,2,0,2,0,2,2
25/077,2025-07-15,"9,12,23,30,31,44",5,,3,3,3,3,1,1,2,1,1
25/076,2025-07-12,"5,17,20,24,27,35",38,,4,2,4,2,1,2,2,1,0
25/075,2025-07-10,"6,13,23,25,32,39",34,"13,23",3,3,4,2,1,1,2,2,0
25/074,2025-07-08,"13,16,17,22,23,35",41,22,5,1,4,2,0,3,2,1,0
25/073,2025-07-06,"5,9,22,33,46,47",36,,3,3,4,2,2,0,1,1,2
25/072,2025-07-03,"7,17,24,35,37,45",30,,3,3,5,1,1,1,1,2,1
25/071,2025-06-29,"19,29,32,34,42,46",20,29,1,5,2,4,0,1,1,2,2
25/070,2025-06-26,"9,11,23,24,29,49",30,49,4,2,5,1,1,1,3,0,1
25/069,2025-06-24,"3,21,28,33,45,49",29,,2,4,5,1,1,0,2,1,2
25/068,2025-06-21,"2,4,19,27,31,39",13,,3,3,4,2,2,1,1,2,0
25/067,2025-06-19,"7,12,13,18,34,35",6,,4,2,3,3,1,3,0,2,0
25/066,2025-06-17,"5,19,30,40,44,45",26,45,2,4,3,3,1,1,1,1,2
25/065,2025-06-12,"6,25,32,36,39,45",13,45,1,5,3,3,1,0,1,3,1
25/064,2025-06-10,"9,13,35,40,45,46",26,9,2,4,4,2,1,1,0,2,2
25/063,2025-06-07,"9,15,27,30,34,39",19,39,2,4,4,2,1,1,2,2,0
25/062,2025-06-05,"18,22,24,33,39,44",3,,3,3,2,4,0,1,2,2,1
25/061,2025-06-03,"1,2,13,15,41,46",27,,4,2,4,2,2,2,0,0,2
25/060,2025-06-01,"12,16,28,29,38,47",26,16,2,4,2,4,0,2,2,1,1
25/059,2025-05-29,"5,6,16,21,24,35",33,6,5,1,3,3,2,1,2,1,0
25/058,2025-05-24,"6,14,15,19,45,47",17,,4,2,4,2,1,3,0,0,2
25/057,2025-05-22,"4,11,26,29,34,35",18,34,2,4,3,3,1,1,2,2,0
25/056,2025-05-20,"10,15,28,31,34,40",48,34,2,4,2,4,1,1,1,3,0
25/055,2025-05-17,"12,22,27,29,32,34",9,"12,29,32,34",2,4,2,4,0,1,3,2,0
25/054,2025-05-15,"6,12,29,32,34,46",16,,2,4,1,5,1,1,1,2,1
25/053,2025-05-13,"13,26,27,41,45,49",46,"26,49",1,5,5,1,0,1,2,0,3
25/052,2025-05-11,"19,26,28,29,46,49",32,,1,5,3,3,0,1,3,0,2
25/051,2025-05-08,"6,11,17,22,27,43",24,,4,2,4,2,1,2,2,0,1
25/050,2025-05-06,"12,15,25,26,29,41",42,,2,4,4,2,0,2,3,0,1
